time, local_time, values[0]
1509715520824203014, 0.0258419513702, 0.0
1509715520824434995, 0.0260019302368, 0.0
1509715520828567981, 0.0301489830017, 0.0
1509715520830277919, 0.0318839550018, 0.0
1509715520833913087, 0.0355339050293, 0.0
1509715520843322992, 0.0449030399323, 0.0
1509715520858669042, 0.0602490901947, 0.0
1509715520867969036, 0.069540977478, 0.0
1509715520883541107, 0.0851790904999, 0.0
1509715520891155958, 0.0927369594574, 0.0
1509715520898793935, 0.100373983383, 0.0
1509715520915227890, 0.116816997528, 0.0
1509715520932595014, 0.134212017059, 0.0
1509715520942861080, 0.144416093826, 0.0
1509715520955104112, 0.156687021255, 0.0
1509715520963279962, 0.164834976196, 0.0
1509715520973767995, 0.175384044647, 0.0
1509715520978861093, 0.180442094803, 0.0
1509715520995374917, 0.196958065033, 0.0
1509715521005939960, 0.207542896271, 0.0
1509715521012942075, 0.21453499794, 0.0
1509715521021727085, 0.22331905365, 0.0
1509715521026972055, 0.228588104248, 0.0
1509715521059289932, 0.260904073715, 0.2
1509715521066235065, 0.26783490181, 0.2
1509715521075850009, 0.27743601799, 0.2
1509715521092987060, 0.294542074203, 0.2
1509715521107636928, 0.309219121933, 0.2
1509715521117280960, 0.318865060806, 0.2
1509715521129457950, 0.331061124802, 0.2
1509715521142529964, 0.344216108322, 0.2
1509715521159532070, 0.361149072647, 0.2
1509715521197386980, 0.398972034454, 0.2
1509715521208440065, 0.410046100616, 0.2
1509715521213541984, 0.415131092072, 0.2
1509715521234136104, 0.435725927353, 0.2
1509715521240772008, 0.442352056503, 0.2
1509715521265281915, 0.466871976852, 0.2
1509715521287852048, 0.48943400383, 0.2
1509715521305620908, 0.507201910019, 0.2
1509715521313843965, 0.515425920486, 0.2
1509715521323210954, 0.524795055389, 0.2
1509715521343786954, 0.545370101929, 0.2
1509715521350213050, 0.551832914352, 0.2
1509715521357734918, 0.559319019318, 0.2
1509715521376211881, 0.577794075012, 0.2
1509715521401439905, 0.603096008301, 0.2
1509715521414160966, 0.61576294899, 0.2
1509715521423157930, 0.624748945236, 0.2
1509715521429030895, 0.630611896515, 0.2
1509715521447324037, 0.648910999298, 0.2
1509715521454932928, 0.656594991684, 0.2
1509715521479535102, 0.681126117706, 0.2
1509715521488579988, 0.690176963806, 0.2
1509715521499182939, 0.700762033463, 0.2
1509715521511168956, 0.71275305748, 0.2
1509715521528330087, 0.729911088943, 0.2
1509715521535428047, 0.73705291748, 0.2
1509715521542620897, 0.744249105453, 0.2
1509715521550251960, 0.75183391571, 0.2
1509715521576342105, 0.777930021286, 0.2
1509715521593939065, 0.795521020889, 0.2
1509715521603720903, 0.80530500412, 0.2
1509715521627286911, 0.828969955444, 0.2
1509715521636991024, 0.83859205246, 0.2
1509715521642766952, 0.844351053238, 0.2
1509715521652987003, 0.854542016983, 0.2
1509715521687067985, 0.888688087463, 0.2
1509715521693824052, 0.895426034927, 0.2
1509715521713275909, 0.91483092308, 0.2
1509715521722579956, 0.924161911011, 0.2
1509715521725684881, 0.927398920059, 0.2
1509715521731426000, 0.932996034622, 0.2
1509715521735394954, 0.936954021454, 0.2
1509715521758349895, 0.959952116013, 0.2
1509715521769304990, 0.970886945724, 0.2
1509715521773888111, 0.975476026535, 0.2
1509715521785691022, 0.987344026566, 0.2
1509715521793147087, 0.994702100754, 0.2
1509715521803829908, 1.00541996956, 0.2
1509715521811290979, 1.01289510727, 0.2
1509715521817805051, 1.01941609383, 0.2
1509715521823247909, 1.02482509613, 0.2
1509715521840579986, 1.04225802422, 0.2
1509715521854206085, 1.05579090118, 0.2
1509715521893888950, 1.09547996521, 0.2
1509715521899256944, 1.10084199905, 0.2
1509715521904330015, 1.10591101646, 0.2
1509715521926928043, 1.128510952, 0.2
1509715521940572977, 1.14217805862, 0.2
1509715521960092067, 1.16168904305, 0.2
1509715521966774940, 1.16835808754, 0.2
1509715521976355075, 1.17793893814, 0.2
1509715522001281023, 1.20286297798, 0.2
1509715522009041070, 1.2106320858, 0.2
1509715522028280019, 1.22986102104, 0.2
1509715522040545940, 1.2421309948, 0.2
1509715522049973964, 1.25156593323, 0.2
1509715522063237905, 1.26482605934, 0.2
1509715522102513074, 1.30409908295, 0.0
1509715522105712890, 1.30730199814, 0.0
1509715522109916925, 1.31152391434, 0.0
1509715522118300914, 1.31988406181, 0.0
1509715522126816987, 1.32839894295, 0.0
1509715522137491941, 1.33908200264, 0.0
1509715522143246889, 1.34483003616, 0.0
1509715522158355951, 1.35994911194, 0.0
1509715522168796062, 1.37053108215, 0.0
1509715522174410104, 1.37600302696, 0.0
1509715522182173967, 1.38377809525, 0.0
1509715522191163063, 1.39274597168, 0.0
1509715522201010942, 1.40266013145, 0.0
1509715522208242893, 1.40983605385, 0.0
1509715522214895963, 1.41737294197, 0.0
1509715522223438978, 1.42499399185, 0.0
1509715522230451107, 1.432035923, 0.0
1509715522268229961, 1.46981191635, 0.0
1509715522289202928, 1.49078392982, 0.0
1509715522291172981, 1.49274897575, 0.0
1509715522300591945, 1.50227403641, 0.0
1509715522304158926, 1.50580692291, 0.0
1509715522310340881, 1.51192593575, 0.0
